drug_category,zat_aktif_pattern,zat_aktif_pattern_norm,match_type,source,notes
ace_arb,CANDESARTAN,CANDESARTAN,token_substring,curated_rule,ARB
ace_arb,CAPTOPRIL,CAPTOPRIL,token_substring,curated_rule,ACE inhibitor
ace_arb,ENALAPRIL,ENALAPRIL,token_substring,curated_rule,ACE inhibitor
ace_arb,IMIDAPRIL,IMIDAPRIL,token_substring,curated_rule,ACE inhibitor
ace_arb,IRBESARTAN,IRBESARTAN,token_substring,curated_rule,ARB
ace_arb,LISINOPRIL,LISINOPRIL,token_substring,curated_rule,ACE inhibitor
ace_arb,LOSARTAN,LOSARTAN,token_substring,curated_rule,ARB
ace_arb,OLMESARTAN,OLMESARTAN,token_substring,curated_rule,ARB
ace_arb,RAMIPRIL,RAMIPRIL,token_substring,curated_rule,ACE inhibitor
ace_arb,TELMISARTAN,TELMISARTAN,token_substring,curated_rule,ARB
ace_arb,VALSARTAN,VALSARTAN,token_substring,curated_rule,ARB
antibiotik_fluorokuinolon,CIPROFLOXACIN,CIPROFLOXACIN,token_substring,curated_rule,fluoroquinolone antibiotic
antibiotik_fluorokuinolon,LEVOFLOXACIN,LEVOFLOXACIN,token_substring,curated_rule,fluoroquinolone antibiotic
antibiotik_fluorokuinolon,MOXIFLOXACIN,MOXIFLOXACIN,token_substring,curated_rule,fluoroquinolone antibiotic
antibiotik_fluorokuinolon,NORFLOXACIN,NORFLOXACIN,token_substring,curated_rule,fluoroquinolone antibiotic
antibiotik_fluorokuinolon,OFLOXACIN,OFLOXACIN,token_substring,curated_rule,fluoroquinolone antibiotic
antibiotik_tetrasiklin,DOKSISIKLIN,DOKSISIKLIN,token_substring,curated_rule,tetracycline-class antibiotic
antibiotik_tetrasiklin,DOXYCYCLINE,DOXYCYCLINE,token_substring,curated_rule,tetracycline-class antibiotic
antibiotik_tetrasiklin,MINOCYCLINE,MINOCYCLINE,token_substring,curated_rule,tetracycline-class antibiotic
antibiotik_tetrasiklin,TETRACYCLINE,TETRACYCLINE,token_substring,curated_rule,tetracycline-class antibiotic
antibiotik_tetrasiklin,TETRASIKLIN,TETRASIKLIN,token_substring,curated_rule,tetracycline-class antibiotic
antidiabetes,ACARBOSE,ACARBOSE,token_substring,curated_rule,alpha-glucosidase inhibitor
antidiabetes,DAPAGLIFLOZIN,DAPAGLIFLOZIN,token_substring,curated_rule,SGLT2 inhibitor
antidiabetes,EMPAGLIFLOZIN,EMPAGLIFLOZIN,token_substring,curated_rule,SGLT2 inhibitor
antidiabetes,GLIBENCLAMIDE,GLIBENCLAMIDE,token_substring,curated_rule,sulfonylurea antidiabetic
antidiabetes,GLICLAZIDE,GLICLAZIDE,token_substring,curated_rule,sulfonylurea antidiabetic
antidiabetes,GLIMEPIRIDE,GLIMEPIRIDE,token_substring,curated_rule,sulfonylurea antidiabetic
antidiabetes,GLIPIZIDE,GLIPIZIDE,token_substring,curated_rule,sulfonylurea antidiabetic
antidiabetes,INSULIN,INSULIN,token_substring,curated_rule,insulin antidiabetic
antidiabetes,LINAGLIPTIN,LINAGLIPTIN,token_substring,curated_rule,DPP-4 inhibitor
antidiabetes,METFORMIN,METFORMIN,token_substring,curated_rule,biguanide antidiabetic
antidiabetes,PIOGLITAZONE,PIOGLITAZONE,token_substring,curated_rule,thiazolidinedione antidiabetic
antidiabetes,SITAGLIPTIN,SITAGLIPTIN,token_substring,curated_rule,DPP-4 inhibitor
antikoagulan,APIXABAN,APIXABAN,token_substring,curated_rule,direct factor Xa inhibitor
antikoagulan,DABIGATRAN,DABIGATRAN,token_substring,curated_rule,direct thrombin inhibitor
antikoagulan,ENOXAPARIN,ENOXAPARIN,token_substring,curated_rule,low molecular weight heparin
antikoagulan,FONDAPARINUX,FONDAPARINUX,token_substring,curated_rule,factor Xa inhibitor
antikoagulan,HEPARIN,HEPARIN,token_substring,curated_rule,heparin anticoagulant
antikoagulan,RIVAROXABAN,RIVAROXABAN,token_substring,curated_rule,direct factor Xa inhibitor
antikoagulan,WARFARIN,WARFARIN,token_substring,curated_rule,oral vitamin K antagonist
antikonvulsan,CARBAMAZEPINE,CARBAMAZEPINE,token_substring,curated_rule,anticonvulsant
antikonvulsan,FENITOIN,FENITOIN,token_substring,curated_rule,anticonvulsant
antikonvulsan,GABAPENTIN,GABAPENTIN,token_substring,curated_rule,anticonvulsant
antikonvulsan,KARBAMAZEPIN,KARBAMAZEPIN,token_substring,curated_rule,anticonvulsant
antikonvulsan,LAMOTRIGINE,LAMOTRIGINE,token_substring,curated_rule,anticonvulsant
antikonvulsan,LEVETIRACETAM,LEVETIRACETAM,token_substring,curated_rule,anticonvulsant
antikonvulsan,PHENYTOIN,PHENYTOIN,token_substring,curated_rule,anticonvulsant
antikonvulsan,PREGABALIN,PREGABALIN,token_substring,curated_rule,anticonvulsant
antikonvulsan,TOPIRAMATE,TOPIRAMATE,token_substring,curated_rule,anticonvulsant
antikonvulsan,VALPROATE,VALPROATE,token_substring,curated_rule,anticonvulsant
